Document date,TotalCollection,lag_1,lag_2,lag_3,lag_7,rolling_mean_3,rolling_std_3,rolling_max_3,rolling_min_3,rolling_median_3,rolling_mean_7,rolling_std_7,ewm_3,ewm_7,diff_1,diff_7,Date,dayofweek,month,day,is_weekend,is_monday,is_friday,is_holiday,is_before_holiday,is_after_holiday
2023-04-08,1.1548720586999999E8,3.9509229005E8,1.92893913247E9,1.4066257834099998E9,1.383964591E8,8.131728761300001E8,9.763429238054938E8,1.92893913247E9,1.1548720586999999E8,3.9509229005E8,9.367803390042857E8,8.203532372619499E8,5.388882912261719E8,7.140346772960138E8,-2.7960508418E8,-2.2909253230000004E7,2023-04-08T00:00:00.000Z,5,4,8,1,0,0,0,0,0
2023-04-09,1.1220424209999999E7,1.1548720586999999E8,3.9509229005E8,1.92893913247E9,7.638912447E7,1.7393330671000007E8,1.984977641521958E8,3.9509229005E8,1.1220424209999999E7,1.1548720586999999E8,9.274705246814287E8,8.320314505918736E8,2.7505435771808594E8,5.383311140245104E8,-1.0426678166E8,-6.516870026E7,2023-04-09T00:00:00.000Z,6,4,9,1,0,0,0,0,0
2023-04-10,2.0978402502200007E9,1.1220424209999999E7,1.1548720586999999E8,3.9509229005E8,1.9634832488700004E9,7.415159601000004E8,1.1757676536699657E9,2.0978402502200007E9,1.1220424209999999E7,1.1548720586999999E8,9.46664382017143E8,8.609609078722008E8,1.1864473039690433E9,9.28208398073383E8,2.0866198260100007E9,1.3435700135000038E8,2023-04-10T00:00:00.000Z,0,4,10,0,1,0,0,0,0
2023-04-11,1.3618504931100006E9,2.0978402502200007E9,1.1220424209999999E7,1.1548720586999999E8,6.7144558789E8,1.1569703891800005E9,1.0582898786789361E9,2.0978402502200007E9,1.1220424209999999E7,1.3618504931100006E9,1.0452936541914289E9,8.637189066473877E8,1.274148898539522E9,1.0366189218325374E9,-7.359897571100001E8,6.904049052200006E8,2023-04-11T00:00:00.000Z,1,4,11,0,0,0,0,0,0
2023-04-12,1.4402083033400002E9,1.3618504931100006E9,2.0978402502200007E9,1.1220424209999999E7,1.4066257834099998E9,1.633299682223334E9,4.0420717595313627E8,2.0978402502200007E9,1.3618504931100006E9,1.4402083033400002E9,1.0500911570385717E9,8.661502620285243E8,1.3571786009397612E9,1.137516267209403E9,7.835781022999954E7,3.3582519930000305E7,2023-04-12T00:00:00.000Z,2,4,12,0,0,0,0,0,0
2023-04-13,1.354487286689999E9,1.4402083033400002E9,1.3618504931100006E9,2.0978402502200007E9,1.92893913247E9,1.3855153610466669E9,4.750834300123096E7,1.4402083033400002E9,1.354487286689999E9,1.3618504931100006E9,9.680266076414287E8,7.931413037646616E8,1.3558329438148801E9,1.1917590220795522E9,-8.572101665000105E7,-5.744518457800009E8,2023-04-13T00:00:00.000Z,3,4,13,0,0,0,0,0,0
2023-04-14,4.0918046638999987E8,1.354487286689999E9,1.4402083033400002E9,1.3618504931100006E9,3.9509229005E8,1.067958685473333E9,5.721263668350148E8,1.4402083033400002E9,4.0918046638999987E8,1.354487286689999E9,9.700392042614287E8,7.9146127405016E8,8.8250670510244E8,9.961143831571641E8,-9.453068202999992E8,1.4088176339999855E7,2023-04-14T00:00:00.000Z,4,4,14,0,0,1,0,0,0
2023-04-15,7.437020052299999E8,4.0918046638999987E8,1.354487286689999E9,1.4402083033400002E9,1.1548720586999999E8,8.357899194366664E8,4.793343134844667E8,1.354487286689999E9,4.0918046638999987E8,7.437020052299999E8,1.0597841755985715E9,7.098187539171638E8,8.1310435516622E8,9.330112886753731E8,3.3452153884000003E8,6.282147993599999E8,2023-04-15T00:00:00.000Z,5,4,15,1,0,0,0,0,0
2023-04-16,1.9344805250000004E7,7.437020052299999E8,4.0918046638999987E8,1.354487286689999E9,1.1220424209999999E7,3.907424256233334E8,3.625304253455175E8,7.437020052299999E8,1.9344805250000004E7,4.0918046638999987E8,1.0609448014614286E9,7.078223286665463E8,4.1622458020811E8,7.045946678190298E8,-7.243571999799999E8,8124381.040000005,2023-04-16T00:00:00.000Z,6,4,16,1,0,0,0,0,0
2023-04-17,2.12316075375E9,1.9344805250000004E7,7.437020052299999E8,4.0918046638999987E8,2.0978402502200007E9,9.620691880766668E8,1.0687719851301451E9,2.12316075375E9,1.9344805250000004E7,7.437020052299999E8,1.0645620162514285E9,7.140417426749657E8,1.269692666979055E9,1.0592361893017724E9,2.1038159485E9,2.5320503529999256E7,2023-04-17T00:00:00.000Z,0,4,17,0,1,0,0,0,0
